code;libelle;fiche_code
13395;Conseiller / Conseillère d'élevage en production laitière;A1301
13388;Conseiller / Conseillère de gestion agricole;A1301
38324;Conseiller / Conseillère en génie climatique agricole;A1301
13439;Conseiller / Conseillère en irrigation;A1301
13440;Conseiller / Conseillère en machinisme agricole;A1301
13481;Conseiller / Conseillère technique agricole;A1301
13496;Conseiller / Conseillère viticole;A1301
13459;Conseiller forestier / Conseillère forestière;A1301
15498;Hydraulicien / Hydraulicienne en agriculture;A1301
19657;Technicien / Technicienne arboricole;A1301
19667;Technicien / Technicienne avicole;A1301
19670;Technicien / Technicienne bâtiments d'élevage;A1301
19679;Technicien / Technicienne bovin;A1301
19683;Technicien / Technicienne caprin;A1301
19705;Technicien / Technicienne cunicole;A1301
19709;Technicien / Technicienne d'agriculture;A1301
19932;Technicien / Technicienne d'élevage;A1301
19968;Technicien / Technicienne d'expérimentation;A1301
19743;Technicien / Technicienne de culture maraîchère;A1301
200083;Technicien / Technicienne de génie écologique;A1301
19875;Technicien / Technicienne de maintenance végétale;A1301
19900;Technicien / Technicienne de production animale;A1301
19953;Technicien / Technicienne des travaux forestiers;A1301
20019;Technicien / Technicienne du génie rural;A1301
20020;Technicien / Technicienne du génie sanitaire et environnement;A1301
20036;Technicien / Technicienne en agriculture biologique;A1301
20037;Technicien / Technicienne en alimentation animale;A1301
20066;Technicien / Technicienne en fabrication fromagère;A1301
20135;Technicien / Technicienne équin;A1301
20165;Technicien / Technicienne horticole;A1301
20207;Technicien / Technicienne ovin;A1301
20218;Technicien / Technicienne porcin;A1301
20252;Technicien / Technicienne semences;A1301
20286;Technicien / Technicienne viticole;A1301
20147;Technicien foncier / Technicienne foncière;A1301
20148;Technicien foncier / Technicienne foncière en agriculture;A1301
20149;Technicien forestier / Technicienne forestière;A1301
20150;Technicien forestier / Technicienne forestière d'études et de recherche;A1301
20179;Technicien laitier / Technicienne laitière;A1301
10401;Agent / Agente de collecte d'embryons;A1302
10566;Agent / Agente de production laitière;A1302
10754;Agent / Agente sanitaire apicole;A1302
10755;Agent / Agente sanitaire de l'agriculture;A1302
10759;Agent / Agente technique agricole;A1302
10778;Agent / Agente technique d'élevage;A1302
10789;Agent / Agente technique en produits de traitement;A1302
11330;Assistant / Assistante sanitaire apicole;A1302
13594;Contrôleur / Contrôleuse de croissance de l'agriculture;A1302
13595;Contrôleur / Contrôleuse de culture;A1302
13612;Contrôleur / Contrôleuse de performance;A1302
13662;Contrôleur / Contrôleuse viticole;A1302
13642;Contrôleur laitier / Contrôleuse laitière;A1302
13665;Contrôleur-pointeur / Contrôleuse-pointeuse;A1302
15918;Inséminateur artificiel / Inséminatrice artificielle;A1302
17673;Peseur laitier / Peseuse laitière;A1302
19652;Technicien / Technicienne agricole;A1302
19724;Technicien / Technicienne de contrôle de croissance de l'agriculture;A1302
19736;Technicien / Technicienne de contrôle laitier;A1302
19917;Technicien / Technicienne de production laitière;A1302
19951;Technicien / Technicienne des services vétérinaires;A1302
10804;Agro-économiste;A1303
11522;Bio-ingénieur / Bio-ingénieure;A1303
11896;Chargé / Chargée d'études agricoles;A1303
38762;Chargé / Chargée d'études du patrimoine naturel;A1303
11903;Chargé / Chargée d'études économiques en agriculture;A1303
38761;Chargé / Chargée d'études en biodiversité;A1303
11906;Chargé / Chargée d'études en développement agricole;A1303
11907;Chargé / Chargée d'études en développement rural;A1303
11910;Chargé / Chargée d'études environnement;A1303
38760;Chargé / Chargée de mission biodiversité;A1303
11824;Chargé / Chargée de mission en agriculture;A1303
11861;Chargé / Chargée de recherche en agriculture;A1303
14931;Expérimentateur / Expérimentatrice en agriculture;A1303
14934;Expert / Experte cynégétique;A1303
14936;Expert / Experte en aquaculture;A1303
14932;Expert agricole et foncier / Experte agricole et foncière;A1303
14948;Expert forestier / Experte forestière;A1303
15575;Ingénieur / Ingénieure agro-environnement;A1303
15576;Ingénieur / Ingénieure agro-halieute;A1303
15577;Ingénieur / Ingénieure agronome;A1303
15583;Ingénieur / Ingénieure arboricole;A1303
15711;Ingénieur / Ingénieure d'études et de recherche agricoles;A1303
15682;Ingénieur / Ingénieure des eaux et forêts;A1303
15685;Ingénieur / Ingénieure des techniques forestières;A1303
15686;Ingénieur / Ingénieure des travaux agricoles;A1303
15688;Ingénieur / Ingénieure des travaux des eaux et forêts;A1303
15692;Ingénieur / Ingénieure des travaux ruraux;A1303
15723;Ingénieur / Ingénieure du génie rural;A1303
15724;Ingénieur / Ingénieure du génie rural des eaux et forêts -IGREF-;A1303
200081;Ingénieur / Ingénieure écologue;A1303
15760;Ingénieur / Ingénieure en expérimentation animale;A1303
15761;Ingénieur / Ingénieure en expérimentation végétale;A1303
15788;Ingénieur / Ingénieure en techniques d'expérimentation animale;A1303
15814;Ingénieur / Ingénieure halieute;A1303
15815;Ingénieur / Ingénieure horticole;A1303
200082;Ingénieur / Ingénieure méthanisation;A1303
15852;Ingénieur / Ingénieure paysagiste;A1303
10806;Aide agricole en arboriculture;A1401
10810;Aide agricole en production fruitière;A1401
10814;Aide agricole en viticulture;A1401
10815;Aide arboricole;A1401
10864;Aide-arboriculteur / Aide-arboricultrice;A1401
10886;Aide-pépiniériste;A1401
10862;Aide viticole;A1401
10900;Aide-viticulteur / Aide-viticultrice;A1401
13853;Cueilleur / Cueilleuse de cerises;A1401
13855;Cueilleur / Cueilleuse de fruits;A1401
13856;Cueilleur / Cueilleuse de pêches;A1401
13857;Cueilleur / Cueilleuse de poires;A1401
13858;Cueilleur / Cueilleuse de pommes;A1401
17817;Planteur / Planteuse de bananes;A1401
17892;Porteur / Porteuse de hottes;A1401
20510;Vendangeur / Vendangeuse;A1401
10807;Aide agricole en maraîchage-horticulture;A1402
10808;Aide agricole en polyculture;A1402
10809;Aide agricole en production florale;A1402
10812;Aide agricole en production légumière;A1402
10813;Aide agricole en production végétale;A1402
10849;Aide horticole;A1402
10853;Aide maraîcher / maraîchère;A1402
11710;Castreur / Castreuse de maïs;A1402
13775;Coupeur / Coupeuse de canne à sucre;A1402
13854;Cueilleur / Cueilleuse de feuilles de tabac;A1402
17818;Planteur / Planteuse de café - thé;A1402
17819;Planteur / Planteuse de canne à sucre;A1402
17820;Planteur / Planteuse de tabac;A1402
18275;Ramasseur / Ramasseuse d'ail;A1402
18276;Ramasseur / Ramasseuse d'asperges;A1402
18281;Ramasseur / Ramasseuse d'endives;A1402
18277;Ramasseur / Ramasseuse de champignons;A1402
18278;Ramasseur / Ramasseuse de légumes;A1402
18279;Ramasseur / Ramasseuse de pommes de terre;A1402
10811;Aide agricole en production laitière;A1403
10832;Aide d'élevage aquacole;A1403
10833;Aide d'élevage bovin;A1403
10834;Aide d'élevage caprin;A1403
10835;Aide d'élevage cunicole (lapins);A1403
10836;Aide d'élevage de chevaux;A1403
10837;Aide d'élevage en production de volaille;A1403
10838;Aide d'élevage en production laitière;A1403
10839;Aide d'élevage ostréicole;A1403
10840;Aide d'élevage ovin;A1403
10841;Aide d'élevage porcin;A1403
10825;Aide de conchyliculture;A1403
10829;Aide de pisciculture;A1403
10898;Aide-vacher / Aide-vachère;A1403
17546;Palefrenier / Palefrenière;A1403
18282;Ramasseur / Ramasseuse d'oeufs;A1403
18280;Ramasseur / Ramasseuse de volaille;A1403
19431;Sexeur / Sexeuse de volailles;A1403
20364;Tondeur / Tondeuse de moutons;A1403
10922;Algoculteur / Algocultrice (algues);A1404
11099;Aquaculteur / Aquacultrice;A1404
11361;Astaciculteur / Astacicultrice (écrevisses);A1404
12511;Chef d'exploitation aquacole;A1404
12843;Conchyliculteur / Conchylicultrice (coquillages);A1404
13851;Crustaciculteur / Crustacicultrice (crustacés);A1404
14558;Échiniculteur / Échinicultrice (oursins);A1404
16944;Mytiliculteur / Mytilicultrice (moules);A1404
17375;Ostréiculteur / Ostréicultrice (huîtres);A1404
17402;Ouvrier / Ouvrière aquacole;A1404
17511;Ouvrier / Ouvrière mytilicole;A1404
17513;Ouvrier / Ouvrière ostréicole;A1404
17517;Ouvrier / Ouvrière piscicole;A1404
17601;Pectiniculteur / Pectinicultrice (coquilles Saint-Jacques);A1404
17801;Pisciculteur / Piscicultrice;A1404
19303;Salmoniculteur / Salmonicultrice (saumons);A1404
20467;Truiticulteur / Truiticultrice (truites);A1404
20649;Vénériculteur / Vénéricultrice (palourdes);A1404
11103;Arboriculteur / Arboricultrice;A1405
11104;Arboriculteur ornemental / Arboricultrice ornementale;A1405
38775;Chef d'équipe en production arboricole;A1405
12519;Chef d'exploitation en arboriculture;A1405
12112;Chef de culture arboricole;A1405
12120;Chef de culture viticole;A1405
12374;Chef de station fruitière;A1405
13577;Contremaître / Contremaîtresse en arboriculture;A1405
15172;Fruiticulteur / Fruiticultrice;A1405
16141;Kiwiculteur / Kiwicultrice;A1405
17044;Oléiculteur / Oléicultrice;A1405
17403;Ouvrier / Ouvrière arboricole;A1405
17490;Ouvrier / Ouvrière en arboriculture;A1405
17498;Ouvrier / Ouvrière en viticulture;A1405
17540;Ouvrier viticole / Ouvrière viticole;A1405
17876;Pomiculteur / Pomicultrice;A1405
18082;Producteur / Productrice d'ananas;A1405
18083;Producteur / Productrice de bananes;A1405
18225;Pruniculteur / Prunicultrice;A1405
18415;Régisseur / Régisseuse d'exploitation viticole;A1405
18996;Responsable d'exploitation viticole;A1405
38078;Tailleur / Tailleuse de fruitiers;A1405
19624;Tailleur / Tailleuse de vigne;A1405
20689;Vigneron manipulant / Vigneronne manipulante;A1405
20713;Viticulteur / Viticultrice;A1405
11668;Capitaine de pêche;A1406
12733;Commandant / Commandante de pêche;A1406
16187;Lieutenant / Lieutenante de pêche;A1406
17582;Patron / Patronne à la pêche;A1406
17583;Patron / Patronne de pêche;A1406
19355;Second / Seconde de pêche;A1406
10802;Agriculteur / Agricultrice de production laitière;A1407
10966;Ânier / Ânière;A1407
11583;Bouvier / Bouvière;A1407
12869;Conducteur / Conductrice d'atelier de production animale bovine ou équine;A1407
12872;Conducteur / Conductrice d'atelier de vaches allaitantes;A1407
14684;Éleveur / Éleveuse d'ânes;A1407
14688;Éleveur / Éleveuse de bisons;A1407
14689;Éleveur / Éleveuse de bovins;A1407
14694;Éleveur / Éleveuse de chevaux;A1407
14708;Éleveur / Éleveuse de poneys;A1407
14711;Éleveur / Éleveuse de poulains;A1407
14715;Éleveur / Éleveuse de taurillons;A1407
14716;Éleveur / Éleveuse de vaches laitières;A1407
14717;Éleveur / Éleveuse de vaches laitières et de bétail viande;A1407
14718;Éleveur / Éleveuse de veaux de boucherie;A1407
14724;Éleveur / Éleveuse en production bovine et/ou équine;A1407
14730;Éleveur-sélectionneur / Éleveuse-sélectionneuse en production bovine et/ou équine;A1407
14906;Étalonnier / Étalonnière;A1407
15211;Gardian;A1407
16330;Manadier / Manadière;A1407
17389;Ouvrier / Ouvrière agricole en production bovine;A1407
17394;Ouvrier / Ouvrière agricole en production équine;A1407
17395;Ouvrier / Ouvrière agricole en production laitière;A1407
17463;Ouvrier / Ouvrière d'élevage en production bovine;A1407
17464;Ouvrier / Ouvrière d'élevage en production bovine biologique;A1407
17468;Ouvrier / Ouvrière d'élevage en production équine;A1407
17471;Ouvrier / Ouvrière d'élevage laitier bovin;A1407
17456;Ouvrier / Ouvrière de production bovine;A1407
18085;Producteur / Productrice de lait bovin;A1407
18098;Producteur / Productrice de viande bovine;A1407
18099;Producteur / Productrice de viande équine;A1407
18900;Responsable d'élevage bovin;A1407
18904;Responsable d'élevage équin;A1407
18890;Responsable de troupeau;A1407
20498;Vacher / Vachère;A1407
10967;Animalier / Animalière de laboratoire;A1408
10968;Animalier / Animalière en parc zoologique;A1408
11079;Apiculteur / Apicultrice;A1408
13763;Coturniculteur / Coturnicultrice (cailles);A1408
13882;Cyniculteur / Cynicultrice (gibiers);A1408
14532;Dresseur / Dresseuse de chiens;A1408
38628;Éducateur / Éducatrice canin;A1408
14685;Éleveur / Éleveuse d'animaux à fourrure;A1408
14686;Éleveur / Éleveuse d'animaux de compagnie;A1408
14687;Éleveur / Éleveuse d'autruches;A1408
14721;Éleveur / Éleveuse d'escargots;A1408
14722;Éleveur / Éleveuse d'insectes;A1408
14692;Éleveur / Éleveuse de cervidés;A1408
14693;Éleveur / Éleveuse de chats;A1408
14698;Éleveur / Éleveuse de chiens;A1408
14699;Éleveur / Éleveuse de chiens guides;A1408
14700;Éleveur / Éleveuse de crocodiles;A1408
14701;Éleveur / Éleveuse de grands gibiers;A1408
14702;Éleveur / Éleveuse de lamas;A1408
14707;Éleveur / Éleveuse de petits gibiers;A1408
14712;Éleveur / Éleveuse de reptiles;A1408
14713;Éleveur / Éleveuse de reptiles aquatiques;A1408
14714;Éleveur / Éleveuse de rongeurs;A1408
14719;Éleveur / Éleveuse de visons;A1408
15062;Féliniculteur / Félinicultrice (félins);A1408
15189;Garçon / Fille de chenil;A1408
15467;Héliciculteur / Hélicicultrice (escargots);A1408
16215;Lombriculteur / Lombricultrice (lombrics);A1408
17416;Ouvrier / Ouvrière cynicole;A1408
18287;Raniculteur / Ranicultrice (grenouilles);A1408
19412;Sériciculteur / Séricicultrice (vers à soie);A1408
20741;Zootechnicien / Zootechnicienne;A1408
10232;Accouveur / Accouveuse;A1409
11467;Aviculteur / Avicultrice;A1409
14703;Éleveur / Éleveuse de lapins;A1409
14704;Éleveur / Éleveuse de lapins angoras;A1409
14705;Éleveur / Éleveuse de lapins ou de volailles;A1409
14720;Éleveur / Éleveuse de volailles;A1409
14731;Éleveur-sélectionneur / Éleveuse-sélectionneuse en production de lapins;A1409
14732;Éleveur-sélectionneur / Éleveuse-sélectionneuse en production de volailles;A1409
14837;Engraisseur / Engraisseuse de lapins ou de volailles;A1409
15242;Gaveur / Gaveuse;A1409
16948;Naisseur / Naisseuse en production de lapins ou de volailles;A1409
17392;Ouvrier / Ouvrière agricole en production de lapins;A1409
17393;Ouvrier / Ouvrière agricole en production de volailles;A1409
17401;Ouvrier / Ouvrière agricole spécialisation aviculture;A1409
17405;Ouvrier / Ouvrière avicole;A1409
17415;Ouvrier / Ouvrière cunicole (lapins);A1409
17419;Ouvrier / Ouvrière d'accouvage;A1409
17466;Ouvrier / Ouvrière d'élevage en production de lapins;A1409
17467;Ouvrier / Ouvrière d'élevage en production de volailles;A1409
18899;Responsable d'élevage avicole;A1409
18901;Responsable d'élevage cunicole (lapins);A1409
18810;Responsable de poulailler;A1409
11499;Berger / Bergère;A1410
11501;Berger / Bergère d'estives;A1410
11500;Berger / Bergère de production laitière;A1410
11502;Berger fromager / Bergère fromagère;A1410
12618;Chevrier / Chevrière;A1410
12619;Chevrier fromager / Chevrière fromagère;A1410
14683;Éleveur / Éleveuse d'agneaux;A1410
14723;Éleveur / Éleveuse d'ovins;A1410
14690;Éleveur / Éleveuse de brebis laitières;A1410
14691;Éleveur / Éleveuse de caprins;A1410
14696;Éleveur / Éleveuse de chèvres;A1410
14697;Éleveur / Éleveuse de chèvres angoras;A1410
14706;Éleveur / Éleveuse de moutons;A1410
14725;Éleveur / Éleveuse en production ovine et caprine;A1410
14728;Éleveur laitier / Éleveuse laitière en production ovine et caprine;A1410
14729;Éleveur-sélectionneur / Éleveuse-sélectionneuse d'ovins et de caprins;A1410
16933;Moutonnier / Moutonnière;A1410
17391;Ouvrier / Ouvrière agricole en production caprine;A1410
17396;Ouvrier / Ouvrière agricole en production laitière d'ovins ou de caprins;A1410
17397;Ouvrier / Ouvrière agricole en production ovine;A1410
17465;Ouvrier / Ouvrière d'élevage en production caprine;A1410
17469;Ouvrier / Ouvrière d'élevage en production ovine;A1410
17472;Ouvrier / Ouvrière d'élevage laitier en production ovine ou caprine;A1410
17457;Ouvrier / Ouvrière de production ovine;A1410
18086;Producteur / Productrice de lait d'ovin et de caprin;A1410
18902;Responsable d'élevage en production caprine;A1410
18903;Responsable d'élevage en production ovine;A1410
12384;Chef d'élevage porcin;A1411
12510;Chef d'exploitation agricole porcine;A1411
12216;Chef de production agricole porcine;A1411
12871;Conducteur / Conductrice d'atelier de production animale porcine;A1411
14709;Éleveur / Éleveuse de porcins;A1411
14710;Éleveur / Éleveuse de porcs;A1411
14726;Éleveur / Éleveuse en production porcine;A1411
14733;Éleveur-sélectionneur / Éleveuse-sélectionneuse en production porcine;A1411
14838;Engraisseur / Engraisseuse de porcelets;A1411
16949;Naisseur-engraisseur / Naisseuse-engraisseuse porcin;A1411
17398;Ouvrier / Ouvrière agricole en production porcine;A1411
17470;Ouvrier / Ouvrière d'élevage en production porcine;A1411
17458;Ouvrier / Ouvrière de production porcine;A1411
17400;Ouvrier agricole polyvalent / Ouvrière agricole polyvalente en élevage porcin;A1411
17890;Porcher / Porchère;A1411
18104;Producteur / Productrice hors sol porcin;A1411
18414;Régisseur / Régisseuse d'exploitation agricole porcine;A1411
18422;Régisseur / Régisseuse en agriculture porcine;A1411
18425;Régisseur / Régisseuse polyculture élevage porcin;A1411
18905;Responsable d'élevage porcin;A1411
19358;Second / Seconde d'exploitation porcine;A1411
20260;Technicien spécialisé / Technicienne spécialisée en conduite d'élevage porcin;A1411
10329;Affineur / Affineuse de fromages;A1412
15028;Fabricant-affineur / Fabricante-affineuse de fromages;A1412
15170;Fromager / Fromagère;A1412
15171;Fromager-affineur / Fromagère-affineuse;A1412
38571;Aide caviste;A1413
11590;Brasseur / Brasseuse de bière;A1413
11592;Brasseur-malteur / Brasseuse-malteuse;A1413
11717;Caviste;A1413
12008;Chef caviste;A1413
12080;Chef de cave;A1413
12638;Cidrier / Cidrière;A1413
140927;Cuviste;A1413
14761;Employé / Employée de chai;A1413
16299;Maître / Maîtresse de chai;A1413
17010;Oenologue;A1413
17011;Oenologue conseil;A1413
17012;Oenologue en recherche développement;A1413
17423;Ouvrier / Ouvrière de chai;A1413
17425;Ouvrier / Ouvrière de cidrerie;A1413
11166;Aspigiculteur / Aspigicultrice;A1414
11608;Bulbiculteur / Bulbicultrice;A1414
11731;Champignonniste;A1414
38774;Chef d'équipe en production maraîchère;A1414
12520;Chef d'exploitation en maraîchage-horticulture;A1414
12114;Chef de culture champignonniste;A1414
12115;Chef de culture en exploitation maraîchère;A1414
12116;Chef de culture floriculture;A1414
12117;Chef de culture horticole;A1414
12118;Chef de culture maraîchère;A1414
12119;Chef de culture pépinière;A1414
13216;Conducteur / Conductrice de travaux horticoles;A1414
13846;Cressiculteur / Cressicultrice;A1414
13875;Cultivateur / Cultivatrice d'endives;A1414
13874;Cultivateur / Cultivatrice de primeurs;A1414
14364;Directeur / Directrice des cultures;A1414
14824;Endivier / Endivière;A1414
15098;Floriculteur / Floricultrice;A1414
15476;Horticulteur / Horticultrice;A1414
16164;Lavandiculteur / Lavandicultrice;A1414
16384;Maraîcher / Maraîchère;A1414
17372;Osiériculteur / Osiéricultrice;A1414
17388;Ouvrier / Ouvrière agricole en maraîchage-horticulture;A1414
17411;Ouvrier / Ouvrière champignonniste;A1414
17424;Ouvrier / Ouvrière de champignonnière;A1414
17427;Ouvrier / Ouvrière de culture maraîchère;A1414
17494;Ouvrier / Ouvrière en production horticole biologique;A1414
17495;Ouvrier / Ouvrière en production maraîchère biologique;A1414
17496;Ouvrier / Ouvrière en production pépinière biologique;A1414
17504;Ouvrier / Ouvrière horticole;A1414
17505;Ouvrier / Ouvrière horticole serriste;A1414
17516;Ouvrier / Ouvrière pépiniériste;A1414
17530;Ouvrier / Ouvrière serriste;A1414
17506;Ouvrier maraîcher / Ouvrière maraîchère;A1414
17507;Ouvrier maraîcher / Ouvrière maraîchère de culture légumière;A1414
17508;Ouvrier maraîcher / Ouvrière maraîchère primeuriste;A1414
17653;Pépiniériste;A1414
17654;Pépiniériste viticole;A1414
18067;Primeuriste;A1414
18088;Producteur / Productrice de plantes à parfum;A1414
18089;Producteur / Productrice de plantes aromatiques;A1414
18090;Producteur / Productrice de plantes in vitro;A1414
18091;Producteur / Productrice de plantes médicinales;A1414
18095;Producteur / Productrice de semences;A1414
18097;Producteur / Productrice de tabac;A1414
18224;Producteur / Productrice de tomates;A1414
18681;Responsable de champignonnière;A1414
19282;Rosiériste;A1414
19357;Second / Seconde d'exploitation horticole;A1414
19411;Semencier / Semencière;A1414
19414;Serriste;A1414
19610;Tabaculteur / Tabacultrice;A1414
11559;Bosco;A1415
15379;Goémonier / Goémonière;A1415
16310;Maître / Maîtresse d'équipage à la pêche;A1415
16397;Marin calier;A1415
16402;Marin fileyeur;A1415
16403;Marin glaceur;A1415
16404;Marin grande pêche;A1415
16406;Marin-pêcheur;A1415
16408;Marin-trancheur;A1415
17600;Pêcheur / Pêcheuse à pied;A1415
18284;Ramendeur / Ramendeuse;A1415
20326;Timonier / Timonière;A1415
10801;Agriculteur / Agricultrice;A1416
10803;Agriculteur / Agricultrice en polyculture;A1416
11505;Betteravier / Betteravière;A1416
11726;Céréalier / Céréalière;A1416
12444;Chef d'équipe d'exploitation agricole;A1416
12466;Chef d'équipe en polyculture élevage;A1416
12509;Chef d'exploitation agricole;A1416
38880;Chef de chantier de travaux agricoles;A1416
12113;Chef de culture céréalière;A1416
12215;Chef de production agricole;A1416
38881;Conducteur / Conductrice de travaux en entreprise de travaux agricoles;A1416
13558;Contremaître / Contremaîtresse agricole;A1416
13571;Contremaître / Contremaîtresse d'exploitation agricole;A1416
13872;Cultivateur / Cultivatrice de grandes cultures;A1416
13873;Cultivateur / Cultivatrice de plein champ;A1416
14968;Exploitant / Exploitante agricole;A1416
15302;Gérant / Gérante d'exploitation agricole;A1416
16036;Intendant / Intendante d'exploitation agricole;A1416
16295;Maïsiculteur / Maïsicultrice;A1416
17387;Ouvrier / Ouvrière agricole de grandes cultures;A1416
17493;Ouvrier / Ouvrière en polyculture élevage;A1416
17399;Ouvrier agricole polyvalent / Ouvrière agricole polyvalente;A1416
17875;Polyculteur éleveur / Polycultrice éleveuse;A1416
140959;Polyéleveur / Polyéleveuse;A1416
18101;Producteur / Productrice d'oléagineux;A1416
18084;Producteur / Productrice de cannes à sucre;A1416
18092;Producteur / Productrice de pommes de terre;A1416
18093;Producteur / Productrice de protéagineux;A1416
18413;Régisseur / Régisseuse d'exploitation agricole;A1416
18421;Régisseur / Régisseuse en agriculture;A1416
19266;Riziculteur / Rizicultrice;A1416
19356;Second / Seconde d'exploitation en polyculture élevage;A1416
17552;Paludier / Paludière;A1417
18094;Producteur / Productrice de sel;A1417
19301;Saliculteur / Salicultrice;A1417
19302;Salinier / Salinière;A1417
19313;Saunier / Saunière;A1417
10899;Aide-vétérinaire;A1501
11449;Auxiliaire de santé animale;A1501
11450;Auxiliaire de soins aux animaux;A1501
11451;Auxiliaire de soins vétérinaires;A1501
11452;Auxiliaire de vétérinaire;A1501
11463;Auxiliaire Spécialisé / Spécialisée Vétérinaire -ASV-;A1501
11464;Auxiliaire vétérinaire;A1501
11465;Auxiliaire Vétérinaire Qualifié / Qualifiée -AVQ-;A1501
38730;Garçon / Fille de cour d'entraînement de chevaux;A1501
38815;Garde d'animaux de compagnie - Pet sitter;A1501
140928;Groom chevaux;A1501
19447;Soigneur / Soigneuse d'équidés;A1501
19442;Soigneur / Soigneuse de chevaux;A1501
